,Area,Item,Element,Unit,Y2017
106759,Hungary,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,87.92
106760,Hungary,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,153.51
108168,Iceland,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3628.0
108169,Iceland,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,141.01
108170,Iceland,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,166.84
109479,India,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2517.0
109480,India,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,65.33
109481,India,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,56.84
111370,Indonesia,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2892.0
111371,Indonesia,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,68.63
111372,Indonesia,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,55.34
113256,Iran (Islamic Republic of),Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3119.0
113257,Iran (Islamic Republic of),Grand Total,Protein supply quantity (g/capita/day),g/capita/day,87.59
113258,Iran (Islamic Republic of),Grand Total,Fat supply quantity (g/capita/day),g/capita/day,77.69
114608,Iraq,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2506.0
114609,Iraq,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,60.55
114610,Iraq,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,69.39
116453,Ireland,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3717.0
116454,Ireland,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,105.94
116455,Ireland,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,141.38
117785,Israel,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3509.0
117786,Israel,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,122.7
117787,Israel,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,155.75
119149,Italy,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3522.0
119150,Italy,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,106.75
119151,Italy,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,151.5
120578,Jamaica,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2757.0
120579,Jamaica,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,72.85
120580,Jamaica,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,78.66
121956,Japan,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2697.0
121957,Japan,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,86.58
121958,Japan,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,87.7
123392,Jordan,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2714.0
123393,Jordan,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,69.1
123394,Jordan,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,90.93
124692,Kazakhstan,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3196.0
124693,Kazakhstan,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,94.99
124694,Kazakhstan,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,128.69
126060,Kenya,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2124.0
126061,Kenya,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,60.88
126062,Kenya,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,45.09
127623,Kiribati,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3056.0
127624,Kiribati,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,73.91
127625,Kiribati,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,103.78
128738,Kuwait,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3446.0
128739,Kuwait,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,99.82
128740,Kuwait,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,105.84
129968,Kyrgyzstan,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2798.0
129969,Kyrgyzstan,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,85.33
129970,Kyrgyzstan,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,67.02
131222,Lao People's Democratic Republic,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3047.0
131223,Lao People's Democratic Republic,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,83.2
131224,Lao People's Democratic Republic,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,51.28
132510,Latvia,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3169.0
132511,Latvia,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,97.32
132512,Latvia,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,124.72
133825,Lebanon,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2880.0
133826,Lebanon,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,67.68
133827,Lebanon,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,89.66
135168,Lesotho,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2282.0
135169,Lesotho,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,64.08
135170,Lesotho,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,43.47
136316,Liberia,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2132.0
136317,Liberia,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,39.89
136318,Liberia,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,55.37
137506,Lithuania,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3419.0
137507,Lithuania,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,125.18
137508,Lithuania,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,106.63
138811,Luxembourg,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3335.0
138812,Luxembourg,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,106.06
138813,Luxembourg,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,136.69
140092,Madagascar,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,1903.0
140093,Madagascar,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,42.94
140094,Madagascar,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,23.49
141956,Malawi,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2647.0
141957,Malawi,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,68.02
141958,Malawi,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,47.21
143812,Malaysia,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2909.0
143813,Malaysia,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,78.91
143814,Malaysia,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,91.14
145193,Maldives,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2252.0
145194,Maldives,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,81.72
145195,Maldives,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,48.24
146360,Mali,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2926.0
146361,Mali,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,84.91
146362,Mali,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,60.28
147642,Malta,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3460.0
147643,Malta,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,116.35
147644,Malta,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,118.17
148893,Mauritania,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2842.0
148894,Mauritania,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,79.82
148895,Mauritania,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,72.64
150075,Mauritius,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3127.0
150076,Mauritius,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,88.56
150077,Mauritius,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,99.94
151456,Mexico,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3260.0
151457,Mexico,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,93.4
151458,Mexico,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,100.84
153337,Mongolia,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2371.0
153338,Mongolia,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,82.39
153339,Mongolia,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,95.28
154508,Montenegro,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3481.0
154509,Montenegro,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,113.31
154510,Montenegro,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,139.63
155704,Morocco,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3380.0
155705,Morocco,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,98.07
155706,Morocco,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,67.71
157105,Mozambique,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2304.0
157106,Mozambique,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,51.21
157107,Mozambique,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,40.64
158980,Myanmar,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2701.0
158981,Myanmar,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,93.35
158982,Myanmar,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,79.99
160846,Namibia,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2431.0
